most recent timestamp: 2024-12-01 16:08:44.209388

Name,Symbol,Price,Price Change (24 hr),Volume (24 hr),Market Cap
Bitcoin,BTC,97789.88436268798,0.96976069,35038836054.14866,1935267874510.4258
Ethereum,ETH,3732.3123286056248,0.63750982,27925419396.838203,449523541314.80365
Tether USDt,USDT,1.0004563586369632,-0.00532877,126957891444.78392,134099279221.93452
XRP,XRP,2.1581960018959268,11.68522651,16559399531.321321,123128299966.1645
Solana,SOL,237.57690493515554,-1.04756938,3666121773.0313473,112886386265.14983
BNB,BNB,657.9635959815818,0.0723657,2038683400.8139212,94753125724.62239
Dogecoin,DOGE,0.44680806744919066,4.58073395,7786785030.226028,65691807054.265305
USDC,USDC,0.9998984040001125,-0.0115509,7040739896.182842,40006643297.82071
Cardano,ADA,1.1372108805252954,4.07525666,2036791074.522051,39900049261.95908
Shiba Inu,SHIB,3.1571693037158375e-05,16.48786878,7469170689.323429,18603875487.714775
Avalanche,AVAX,44.94861079619837,-1.2438728,711614531.9191223,18396987998.259785
TRON,TRX,0.2078566817575728,0.34383605,644177570.0498267,17939217408.804817
Toncoin,TON,6.853346115384455,-0.5150557,352726859.97268254,17458438108.680866
Stellar,XLM,0.5348817849688079,0.01252149,2521842127.4578867,16086594145.212364
Polkadot,DOT,9.309154174708818,1.75815821,795307679.9013681,14192235200.398596
Chainlink,LINK,18.920008392470365,-1.29112456,628855655.1310855,11860006701.786524
Bitcoin Cash,BCH,527.1726520973452,0.06347665,592376765.8411587,10435942769.209803
Sui,SUI,3.4542689321862117,-2.0810446,875422028.2363241,10112925046.111675
Pepe,PEPE,2.2440291993338154e-05,9.20795795,4491147096.786153,9440404194.648113
Litecoin,LTC,118.97309613369795,15.25366453,1712108951.7031243,8953719599.946348
NEAR Protocol,NEAR,6.945550529273223,-2.02603929,543691293.2702109,8459028739.465366
Hedera,HBAR,0.2112254968929403,24.33906645,2209192947.313813,8068574138.980582
UNUS SED LEO,LEO,8.61549985693919,-2.49590528,1917189.62287406,7966524225.178412
Uniswap,UNI,13.027255760938727,0.56552149,487714109.2218822,7822646581.334792
Aptos,APT,13.536770543789421,0.55425138,386875146.1535213,7238272781.608195
Internet Computer,ICP,12.718883042990795,0.37587864,283726865.97186357,6046026571.135984
Dai,DAI,0.9999916202985131,0.00232114,80873079.52228628,5365337742.359461
Cronos,CRO,0.1893095226390938,1.42296886,70786619.9105716,5030249471.135468
Ethereum Classic,ETC,33.23294821264553,0.60256715,469718352.9580401,4977456788.579772
POL (ex-MATIC),POL,0.601104058533246,-0.59787498,368142323.128278,4847824956.387109
Bittensor,TAO,640.7826009618917,-2.93211368,274914793.9632346,4729575367.613261
Render,RENDER,8.780402652063083,-2.75974446,573997994.8423793,4545533261.691602
Artificial Superintelligence Alliance,FET,1.8229945586208278,-3.51650296,535150778.43605477,4440527581.279731
Kaspa,KAS,0.1675599591793841,2.43883685,222446810.64933673,4231804941.134965
Filecoin,FIL,6.830294658137654,-6.46848516,758219398.9514878,4140464241.958268
Algorand,ALGO,0.49413017234181067,9.21348565,1713849300.167015,4096438275.613185
Arbitrum,ARB,0.9679968479299255,-0.97797623,607754232.6746861,3966231387.6907363
VeChain,VET,0.04542984187327616,-1.45765394,131137207.20881589,3679137614.7718687
Stacks,STX,2.38645008768404,1.49259334,270804891.0439347,3586814690.177951
Celestia,TIA,8.029612013043327,-6.18576969,304787123.93825144,3509170022.7668242
Bonk,BONK,4.647185853207277e-05,1.818347,735039714.1764662,3497849777.3607054
Cosmos,ATOM,8.803472366160069,1.04250644,336614179.8512136,3441578461.900783
Immutable,IMX,2.0136637337459797,0.20163469,185367746.5193416,3412688590.5310454
dogwifhat,WIF,3.3394047465220176,2.81744308,722881581.5489137,3335547247.240549
OKB,OKB,54.298875856839,0.32459616,5440496.88052769,3257932551.41034
MANTRA,OM,3.5267516239206205,-1.13825999,72904125.87272926,3191446231.3914466
Mantle,MNT,0.9350194387892233,3.19919196,130460147.02565712,3148062444.153753
Aave,AAVE,207.65946667113943,-0.94078173,380535913.5467952,3115748523.5804844
Optimism,OP,2.4778521733176997,0.00339664,432863851.792069,3109879143.7912626
Fantom,FTM,1.098365769213049,3.22623339,440665005.2859574,3079416532.7156663

Top five by market capitalization:
Rank,Name,Symbol,Price,Price Change (24 hr),Volume (24 hr),Market Cap
1,Bitcoin,BTC,97789.88436268798,0.96976069,35038836054.14866,1935267874510.4258
2,Ethereum,ETH,3732.3123286056248,0.63750982,27925419396.838203,449523541314.80365
3,Tether USDt,USDT,1.0004563586369632,-0.00532877,126957891444.78392,134099279221.93452
4,XRP,XRP,2.1581960018959268,11.68522651,16559399531.321321,123128299966.1645
5,Solana,SOL,237.57690493515554,-1.04756938,3666121773.0313473,112886386265.14983

Current average price (USD) of top 50 cryptocurrencies: 2083.9678524058554

"Cryptocurrency with highest price change: Bitcoin, BNB, 0.0723657"
"Cryptocurrency with lowest price change: BNB, BNB, 0.0723657"
